"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Users","Дымовые тесты","Открытие формы объекта ""ОтчетПоВзаиморасчетам""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ВходящиеПисьма""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Склады""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""АдминистративныйСервис""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""РасчетныеСчета""","0","0","1","0","0"
"Users","Документ Заказ Продавец","_0403 Документ Загрузка данных","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ЗначенияХарактеристик""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""ХранилищеВариантовОтчетов""","0","0","1","0","0"
"Users","проверка  Движения документа Расход товара","_0308 Регистр Продажи","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ПроведениеДокументов""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""VAExtension_ВыполнитьПроизвольныйКод""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ЦеныТоваров""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Путеводитель""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ПрайсЛист""","0","0","1","0","0"
"Users","Экспорт пользователей","_00011 Экспорт пользователей ИБ","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""ЗначенияХарактеристик""","0","0","1","0","0"
